"sku","name","nb_produits_commandes","nb_produits_factures","nb_produits_rembourses","nb_produits_annules","nb_produits_envoyes","num_commande","date"
"1432365","Armature siège pliant PAPILLON sans toile l Prix exclusivité Web","2.0000","2.0000","0.0000","0.0000","2.0000","000032921","2018-07-25 20:53:06"
"1432366","Toile coton pour siège papillon l Prix exclusivité Web","2.0000","2.0000","0.0000","0.0000","2.0000","000032921","2018-07-25 20:53:06"
"1470176","Fauteuil Scandi l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000032924","2018-07-26 08:09:12"
"1464430","SMOOZ-Boite a croquette chat rouge 2,7l l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000032979","2018-07-27 12:33:17"
"1398238","Chaise Montebello l Prix exclusivité Web","8.0000","0.0000","0.0000","8.0000","0.0000","000032998","2018-07-28 08:53:38"
"1398238","Chaise Montebello l Prix exclusivité Web","8.0000","0.0000","0.0000","0.0000","0.0000","000032999","2018-07-28 08:56:45"
"1398238","Chaise Montebello l Prix exclusivité Web","8.0000","8.0000","0.0000","0.0000","8.0000","000033000","2018-07-28 09:46:45"
"1398216","Chaise pivoine  l Prix exclusivité Web","4.0000","4.0000","0.0000","0.0000","4.0000","000033024","2018-07-28 15:48:52"
"1436369","Maison de toilette ""chatons"" l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","0.0000","000033049","2018-07-29 15:24:56"
"1432365","Armature siège pliant PAPILLON sans toile l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000033050","2018-07-29 16:29:19"
"1432366","Toile coton pour siège papillon l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000033050","2018-07-29 16:29:19"
"1432364","Tonnelle en métal Alec l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000033059","2018-07-29 20:51:44"
"1432364","Tonnelle en métal Alec l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000033102","2018-07-30 20:08:33"
"1509713","SMOOZ-Peluche tigre l Prix exclusivité Web l 2+1 gratuit","1.0000","1.0000","0.0000","0.0000","1.0000","000033128","2018-07-31 11:55:20"
"1509715","SMOOZ-Peluche chouette aux longues pattes l Prix exclusivité Web l 2+1 gratuit","1.0000","1.0000","0.0000","0.0000","1.0000","000033128","2018-07-31 11:55:20"
"1509716","SMOOZ-Peluche cerf l Prix exclusivité Web l 2+1 gratuit","1.0000","1.0000","0.0000","0.0000","1.0000","000033128","2018-07-31 11:55:20"
"1436369","Maison de toilette ""chatons"" l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000033129","2018-07-31 12:19:11"
"1464430","SMOOZ-Boite a croquette chat rouge 2,7l l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000033138","2018-07-31 14:30:40"
"1436369","Maison de toilette ""chatons"" l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000033138","2018-07-31 14:30:40"
"1436369","Maison de toilette ""chatons"" l Prix exclusivité Web","2.0000","2.0000","0.0000","0.0000","2.0000","000033146","2018-07-31 18:25:39"
"1470176","Fauteuil Scandi l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000033175","2018-08-01 10:50:54"
"1432365","Armature siège pliant PAPILLON sans toile l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000033175","2018-08-01 10:50:54"
"1432366","Toile coton pour siège papillon l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000033175","2018-08-01 10:50:54"
"1436369","Maison de toilette ""chatons"" l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000033229","2018-08-02 12:36:24"
"1398293","Armature metteur en scène FOTO sans toile l Prix exclu. Web","2.0000","2.0000","0.0000","0.0000","2.0000","000033253","2018-08-03 05:44:25"
"1476098","SMOOZ-Arbre chat 3 niveaux bambou l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000033271","2018-08-03 10:47:35"
"1432366","Toile coton pour siège papillon l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000033310","2018-08-04 16:05:08"
"1432364","Tonnelle en métal Alec l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000033315","2018-08-04 17:31:42"
"1436369","Maison de toilette ""chatons"" l Prix exclusivité Web","2.0000","2.0000","0.0000","0.0000","2.0000","000033321","2018-08-04 20:27:12"
"1436369","Maison de toilette ""chatons"" l Prix exclusivité Web","1.0000","1.0000","1.0000","0.0000","1.0000","000033337","2018-08-05 11:11:10"
"1436369","Maison de toilette ""chatons"" l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000033348","2018-08-05 14:46:41"
"1476111","SMOOZ-Coussin ouatine pop 80cm l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000033376","2018-08-06 12:32:15"
"1432366","Toile coton pour siège papillon l Prix exclusivité Web","2.0000","2.0000","2.0000","0.0000","2.0000","000033408","2018-08-06 20:15:58"
"1436369","Maison de toilette ""chatons"" l Prix exclusivité Web","1.0000","0.0000","0.0000","1.0000","0.0000","000033425","2018-08-07 09:38:37"
"1436369","Maison de toilette ""chatons"" l Prix exclusivité Web","1.0000","0.0000","0.0000","0.0000","0.0000","000033426","2018-08-07 09:42:51"
"1436369","Maison de toilette ""chatons"" l Prix exclusivité Web","1.0000","0.0000","0.0000","1.0000","0.0000","000033427","2018-08-07 09:56:08"
"1436369","Maison de toilette ""chatons"" l Prix exclusivité Web","1.0000","0.0000","0.0000","1.0000","0.0000","000033428","2018-08-07 10:03:30"
"1436369","Maison de toilette ""chatons"" l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000033486","2018-08-08 16:43:29"
"1432365","Armature siège pliant PAPILLON sans toile l Prix exclusivité Web","1.0000","1.0000","0.0000","0.0000","1.0000","000033513","2018-08-09 10:49:57"
